daytime,accuracy,loss,training_time,benign_count,malicious_count,flow_num
2022-08-03 17:50:07,0.23458150029182434,0.8217238187789917,0.7603263854980469,12,896,908
2022-08-03 18:50:07,0.49941107630729675,0.7571820020675659,0.03984379768371582,15,834,849
2022-08-03 19:50:07,0.8343558311462402,0.6153458952903748,0.04052305221557617,14,801,815
2022-08-03 20:50:07,0.9856630563735962,0.5359386801719666,0.04051327705383301,12,825,837
2022-08-03 21:50:07,0.9843953251838684,0.47630366683006287,0.039520263671875,12,757,769
2022-08-03 22:50:07,0.9880715608596802,0.4069918990135193,0.04182887077331543,12,994,1006
2022-08-03 23:50:07,0.9837092757225037,0.36364734172821045,0.040419816970825195,13,785,798
2022-08-04 00:50:07,0.9841688871383667,0.316654771566391,0.040778398513793945,12,746,758
2022-08-04 01:50:07,0.9859648942947388,0.2780630588531494,0.04000687599182129,12,843,855
2022-08-04 02:50:07,0.9876033067703247,0.2541540861129761,0.04301261901855469,12,956,968
2022-08-04 03:50:07,0.9857988357543945,0.2254212349653244,0.04082751274108887,12,833,845
2022-08-04 04:50:07,0.9854897260665894,0.19331029057502747,0.04073333740234375,12,815,827
2022-08-04 05:50:07,0.9824780821800232,0.16920939087867737,0.042511940002441406,14,785,799
2022-08-04 06:50:07,0.9845758080482483,0.1373939961194992,0.04510617256164551,12,766,778
2022-08-04 07:50:07,0.9842105507850647,0.1325744092464447,0.041976213455200195,12,748,760
2022-08-04 08:50:07,0.9841688871383667,0.1133301854133606,0.03915810585021973,12,746,758
2022-08-04 09:50:07,0.9831387996673584,0.09710798412561417,0.03861737251281738,13,758,771
2022-08-04 10:50:07,0.9853249192237854,0.08669481426477432,0.04347825050354004,14,940,954
2022-08-04 11:50:07,0.9861111044883728,0.07285631448030472,0.03953433036804199,12,852,864
2022-08-04 12:50:07,0.9809221029281616,0.06731598824262619,0.039259910583496094,12,617,629
2022-08-04 13:50:07,0.9822485446929932,0.05830426141619682,0.04212331771850586,12,664,676
2022-08-04 14:50:07,0.9820282459259033,0.04933180287480354,0.03903937339782715,14,765,779
2022-08-04 15:50:07,0.9850587248802185,0.038131196051836014,0.03987240791320801,14,923,937
2022-08-04 16:50:07,0.9852216839790344,0.0354774184525013,0.04927825927734375,12,800,812
2022-08-04 17:50:07,0.9860464930534363,0.032537445425987244,0.03783154487609863,12,848,860
